date,gross_return,net_return,turnover,transaction_cost,naive_reversal_net_return,SPY_return
2018-01-02,,,,,,
2018-01-03,,,,,,0.006324507322356787
2018-01-04,,,,,0.0,0.004215072333604963
2018-01-05,,,,,-0.0004213424583700213,0.0066643884396617725
2018-01-08,,,,,-0.0005036633294993548,0.0018286072543460818
2018-01-09,,,,,-0.005202133751833598,0.0022633595617733704
2018-01-10,,,,,-0.006745668793692212,-0.0015299155704839862
2018-01-11,,,,,0.00315477005789886,0.007295878937056521
2018-01-12,,,,,0.003139591000080505,0.006518932082784534
2018-01-16,,,,,0.003433273895668693,-0.0034184113397861537
2018-01-17,,,,,-0.0037975894455455454,0.009531851182342788
2018-01-18,,,,,-0.005445405881107568,-0.0016805535801155402
2018-01-19,,,,,0.001319850955574259,0.004549573583444877
2018-01-22,,,,,0.00022823224474642352,0.008131061448562793
2018-01-23,,,,,0.0013616700029178762,0.002122556202572623
2018-01-24,,,,,-0.000555027516808525,-0.00038847326152846584
2018-01-25,,,,,0.003308331451267693,0.00042370326201290887
2018-01-26,,,,,0.004756693275297275,0.011577786227992215
2018-01-29,,,,,-0.0037395241175448616,-0.006629921217925716
2018-01-30,,,,,0.011582717554689814,-0.01025712884552521
2018-01-31,,,,,-0.0027146131688418115,0.0004970886565218713
2018-02-01,,,,,0.001005562247072667,-0.001135190074383563
2018-02-02,,,,,0.010250323847932718,-0.021770377436530652
2018-02-05,,,,,-0.008080136109028396,-0.04182223365176185
2018-02-06,,,,,-0.0038608286372988072,0.01970204586067359
2018-02-07,,,,,0.005660357391416182,-0.005424854848287031
2018-02-08,,,,,0.009070929826342245,-0.037508761398885926
2018-02-09,,,,,0.0014697517199601436,0.015021578647921974
2018-02-12,,,,,0.0024872826928234283,0.014684380197357738
2018-02-13,,,,,0.0012962592184437745,0.002487474099156506
2018-02-14,,,,,-0.0006859334067861938,0.013496348109089062
2018-02-15,,,,,-0.007723123858921521,0.012759732075335872
2018-02-16,,,,,0.005593107102857492,0.0002929698289331206
2018-02-20,,,,,-0.005788007166183207,-0.006260951412229154
2018-02-21,,,,,0.002617340200409535,-0.004974116008496399
2018-02-22,,,,,0.0008584783395231225,0.001295998959503164
2018-02-23,,,,,-0.0021426534085119686,0.015939106621947197
2018-02-26,,,,,0.00972277708133168,0.011612480120338331
2018-02-27,,,,,-0.0015418744360295715,-0.012486665610312642
2018-02-28,,,,,-0.0022354602159744613,-0.010129995800962743
2018-03-01,,,,,0.0022646808800800837,-0.014540766330026655
2018-03-02,,,,,-0.00850854601315012,0.00515515959241819
2018-03-05,,,,,0.00014315049244421695,0.011557531459670534
2018-03-06,,,,,-0.007164671906386627,0.0025352521380064275
2018-03-07,,,,,-0.0017468509403869288,-0.00036625468467699207
2018-03-08,,,,,-0.0009227098854926837,0.004838938881886579
2018-03-09,,,,,8.080567012642189e-05,0.017402486036906417
2018-03-12,,,,,-0.0010767465065172508,-0.0012551959991879968
2018-03-13,,,,,0.005596470530704979,-0.006462632945142821
2018-03-14,,,,,-0.0014664503383481238,-0.005131526816705478
2018-03-15,,,,,0.0009206270583340006,-0.0010899239528042726
2018-03-16,,,,,0.0025281943544513035,0.001084241716998946
2018-03-19,,,,,0.002925033414076173,-0.013529746853537583
2018-03-20,,,,,-0.0030136921843077306,0.0017004098359871822
2018-03-21,,,,,-0.00015553255697413538,-0.0019192331428544707
2018-03-22,,,,,0.0015815814998815787,-0.024997433207198716
2018-03-23,,,,,-0.004644345016675055,-0.021314507485198697
2018-03-26,,,,,0.008126482872651726,0.027359122144159587
2018-03-27,,,,,-0.01509607759721119,-0.017011663685580825
2018-03-28,,,,,0.012493806611750109,-0.002954822327020379
2018-03-29,,,,,0.018764974710894455,0.012777448860399332
2018-04-02,0.0,0.0,0.0,0.0,-0.006139734616952302,-0.021584448352009455
2018-04-03,0.008072143515418451,0.007572143515418451,1.0000000000000002,0.0005000000000000001,0.005954637784729324,0.012816973875944715
2018-04-04,-0.0002458332314385191,-0.0006958332314385193,0.9000000000000001,0.0004500000000000001,-0.0018922180784956722,0.010699092485148665
2018-04-05,-0.002685808061730877,-0.003085808061730877,0.8,0.0004,-0.002093636864914222,0.007892188139691614
2018-04-06,-0.002778428832100533,-0.003278428832100533,1.0,0.0005,0.0010452855658366635,-0.022286162427404888
2018-04-09,0.003370545877749065,0.0029205458777490645,0.9000000000000001,0.0004500000000000001,0.0024899603159599607,0.004928360300508361
2018-04-10,-0.0024022814018756613,-0.002852281401875661,0.9000000000000001,0.0004500000000000001,0.013850158105488413,0.015900628761055025
2018-04-11,0.0002938355611282973,-0.0001561644388717028,0.9000000000000001,0.0004500000000000001,-0.0028161652515576664,-0.00524219374001389
2018-04-12,,,,,-0.0048453237834036825,0.008226948534584055
2018-04-13,-0.0014088337563006093,-0.0018588337563006094,0.9000000000000001,0.0004500000000000001,-0.01053609448796479,-0.0029329997436522426
2018-04-16,-0.003591781206126632,-0.004074735751581177,0.965909090909091,0.00048295454545454553,-0.002520036482329769,0.008221787424087967
2018-04-17,-0.0023788659963213687,-0.002756138723594096,0.7545454545454546,0.00037727272727272734,0.0030070484470299803,0.010698204635475328
2018-04-18,-0.0004972878602400695,-0.0008472878602400696,0.7000000000000001,0.00035000000000000005,-0.001175450988782972,0.0007404298672766263
2018-04-19,0.005042290088463276,0.004742290088463276,0.6000000000000001,0.00030000000000000003,-0.001638597954338494,-0.0055476464937376235
